,,1. Availability,1. Availability,1. Availability,1. Availability,1. Availability,1. Availability,1. Availability,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,2. Plausibility,3. Spread of future outcomes,3. Spread of future outcomes,3. Spread of future outcomes,3. Spread of future outcomes,3. Spread of future outcomes,4. Other criteria
CanESM5,r18i1p1f1,0.00,ESD,ESD,Basic,Basic,Basic,Basic,1,,,0.00,,,,,,,
CanESM5,r18i1p2f1,0.00,Basic,ESD,Basic,Basic,Basic,Basic,2,,0.00,0.00,,,,,,,CanESM
CanESM5,r19i1p1f1,0.00,ESD,ESD,Basic,Basic,Basic,Basic,1,,,0.00,,,,,,,
CanESM5,r19i1p2f1,0.00,Basic,ESD,Basic,Basic,Basic,Basic,2,,0.00,0.00,,,,,,,CanESM
CanESM5,r20i1p1f1,0.00,ESD,ESD,Basic,Basic,Basic,Basic,1,,,0.00,,,,,,,
CanESM5,r20i1p2f1,0.00,Basic,ESD,Basic,Basic,Basic,Basic,2,,0.00,0.00,,,,,,,CanESM
CanESM5,r21i1p1f1,0.00,ESD,ESD,Basic,Basic,Basic,Basic,1,,,0.00,,,,,,,
CanESM5,r21i1p2f1,0.00,Basic,ESD,Basic,Basic,Basic,Basic,2,,0.00,0.00,,,,,,,CanESM
CanESM5,r22i1p1f1,0.00,ESD,ESD,Basic,Basic,Basic,Basic,1,,,0.00,,,,,,,
CanESM5,r22i1p2f1,0.00,Basic,ESD,Basic,Basic,Basic,Basic,2,,0.00,0.00,,,,,,,CanESM
CanESM5,r23i1p1f1,0.00,ESD,ESD,Basic,Basic,Basic,Basic,1,,,0.00,,,,,,,
CanESM5,r23i1p2f1,0.00,Basic,ESD,Basic,Basic,Basic,Basic,2,,0.00,0.00,,,,,,,CanESM
CanESM5,r24i1p1f1,0.00,ESD,ESD,Basic,Basic,Basic,Basic,1,,,0.00,,,,,,,
CanESM5,r24i1p2f1,0.00,Basic,ESD,Basic,Basic,Basic,Basic,2,,0.00,0.00,,,,,,,CanESM
CanESM5,r25i1p1f1,0.00,ESD,ESD,Basic,Basic,Basic,Basic,1,,,0.00,,,,,,,
CanESM5,r25i1p2f1,0.00,Basic,ESD,Basic,Basic,Basic,Basic,2,,0.00,0.00,,,,,,,CanESM
CanESM5,r26i1p2f1,0.00,-,,,,,,1,,0.00,,,,,,,,
CanESM5,r27i1p2f1,0.00,-,,,,,,1,,0.00,,,,,,,,
CanESM5,r28i1p2f1,0.00,-,,,,,,1,,0.00,,,,,,,,
CanESM5,r29i1p2f1,0.00,-,,,,,,1,,0.00,,,,,,,,
CanESM5,r30i1p2f1,0.00,-,,,,,,1,,0.00,,,,,,,,
CanESM5,r31i1p2f1,0.00,-,,,,,,1,,0.00,,,,,,,,
CanESM5,r32i1p2f1,0.00,-,,,,,,1,,0.00,,,,,,,,
CanESM5,r33i1p2f1,0.00,-,,,,,,1,,0.00,,,,,,,,
CanESM5,r34i1p2f1,0.00,-,,,,,,1,,0.00,,,,,,,,
CanESM5,r35i1p2f1,0.00,-,,,,,,1,,0.00,,,,,,,,
CanESM5,r36i1p2f1,0.00,-,,,,,,1,,0.00,,,,,,,,
CanESM5,r37i1p2f1,0.00,-,,,,,,1,,0.00,,,,,,,,
CanESM5,r38i1p2f1,0.00,-,,,,,,1,,0.00,,,,,,,,
CanESM5,r39i1p2f1,0.00,-,,,,,,1,,0.00,,,,,,,,
CanESM5,r40i1p2f1,0.00,-,,,,,,1,,0.00,,,,,,,,
CanESM5,r41i1p2f1,,,,,,,,1,,0.00,,,,,,,,
CanESM5,r42i1p2f1,,,,,,,,1,,0.00,,,,,,,,
CanESM5,r43i1p2f1,,,,,,,,1,,0.00,,,,,,,,
CanESM5,r44i1p2f1,,,,,,,,1,,0.00,,,,,,,,
CanESM5,r45i1p2f1,,,,,,,,1,,0.00,,,,,,,,
CanESM5,r46i1p2f1,,,,,,,,1,,0.00,,,,,,,,
CanESM5,r47i1p2f1,,,,,,,,1,,0.00,,,,,,,,
CanESM5,r48i1p2f1,,,,,,,,1,,0.00,,,,,,,,
CanESM5,r49i1p2f1,,,,,,,,1,,0.00,,,,,,,,
CanESM5,r50i1p2f1,,,,,,,,1,,0.00,,,,,,,,
CanESM5-CanOE,r1i1p1f1,,,,,,,,1,,0.00,,0.90,,,,,5.20,CanESM
CanESM5-CanOE,r1i1p2f1,0.00,-,,-,-,-,-,1,,,0.00,,,,,,,
CanESM5-CanOE,r2i1p1f1,,,,,,,,1,,0.00,,,,,,,,CanESM
CanESM5-CanOE,r3i1p1f1,,,,,,,,1,,0.00,,,,,,,,CanESM
E3SM-1-0,r1i1p1f1,0.00,Basic,,,,,,2,2.99,,,2.20,2.99,5.32,,,,
E3SM-1-1,r1i1p1f1,0.00,-,,,-,,-,1,,,,2.50,,,,,,
E3SM-1-1-ECA,r1i1p1f1,0.00,-,,,,,,1,,,,2.50,,,,,,
EC-Earth3,r1i1p1f1,1.00,RCM,,RCM,RCM,RCM,RCM,1,2.30,0.01,0.00,0.80,2.30,,6.86,-41.43,4.30,EC-Earth
EC-Earth3,r2i1p1f1,0.00,Basic,,,Basic,,,1,,0.01,0.00,,,,,,,EC-Earth
EC-Earth3,r3i1p1f1,0.00,ESD,,ESD,ESD,ESD,ESD,1,,0.01,0.00,,,,,,,EC-Earth
EC-Earth3,r4i1p1f1,0.00,ESD,ESD,ESD,ESD,ESD,ESD,1,,0.01,0.00,,,,,,,EC-Earth
EC-Earth3,r5i1p1f1,,,,,,,,1,,0.01,0.00,,,,,,,EC-Earth
EC-Earth3,r6i1p1f1,0.00,ESD,,ESD,ESD,ESD,ESD,1,,0.01,0.00,,,,,,,EC-Earth
EC-Earth3,r7i1p1f1,0.00,Basic,,,Basic,,,1,,0.01,0.00,,,,,,,EC-Earth
EC-Earth3,r11i1p1f1,1.00,RCM,,RCM,RCM,RCM,RCM,,,,,,,,,,,
EC-Earth3-Veg,r1i1p1f1,1.00,RCM,RCM,RCM,RCM,RCM,RCM,2,2.62,0.01,0.00,0.90,2.62,4.31,6.20,-31.77,3.90,EC-Earth
EC-Earth3-Veg,r2i1p1f1,1.00,RCM,RCM,RCM,RCM,RCM,RCM,2,2.62,0.01,0.00,,2.62,4.31,,,,EC-Earth
EC-Earth3-Veg,r3i1p1f1,1.00,RCM,RCM,RCM,RCM,RCM,RCM,2,2.62,0.01,0.00,,2.62,4.31,,,,EC-Earth
EC-Earth3-Veg,r4i1p1f1,0.00,Basic,,ESD,ESD,ESD,ESD,,,,,,,4.31,,,,EC-Earth
EC-Earth3-Veg,r5i1p1f1,0.00,Basic,,,Basic,,,,,,,,,4.31,,,,EC-Earth
EC-Earth3-Veg,r6i1p1f1,0.00,RCM,,RCM,RCM,,RCM,2,2.62,0.01,0.00,,2.62,4.31,,,,EC-Earth
EC-Earth3-Veg-LR,r1i1p1f1,0.00,Basic,ESD,ESD,ESD,ESD,ESD,0,,,,1.00,,,,,,
FGOALS-f3-L,r1i1p1f1,0.00,3Dml,,-,-,-,-,2,1.94,0.03,0.00,2.10,1.94,3.00,,,2.80,
FGOALS-g3,r1i1p1f1,0.00,3Dml,3Dml,3Dml,ESD,3Dml,ESD,1,1.54,0.00,1.00,1.90,1.54,2.88,3.45,-9.14,2.10,
FGOALS-g3,r3i1p1f1,0.00,3Dml,,3Dml,3Dml,3Dml,3Dml,0,,,1.00,,,,,,,
FIO-ESM-2-0,r1i1p1f1,0.00,-,,-,-,,-,1,2.22,0.08,0.00,1.00,2.22,,,,3.40,
FIO-ESM-2-0,r2i1p1f1,0.00,-,,-,-,,-,1,,0.08,0.00,,,,,,,
FIO-ESM-2-0,r3i1p1f1,0.00,-,,-,-,,-,1,,0.08,0.00,,,,,,,
GFDL-CM4,r1i1p1f1,0.00,ESD,,,ESD,,ESD,0,,,1.00,0.90,,,6.34,-43.64,3.90,
GFDL-ESM4,r1i1p1f1,0.00,Basic,Basic,Basic,Basic,Basic,Basic,0,1.61,0.13,1.00,0.80,1.61,,4.77,-37.26,2.70,
GISS-E2-1-G,r1i1p1f1,0.00,3Dml,,,,,,0,1.80,,1.00,1.10,1.80,2.72,,,2.90,
GISS-E2-1-G,r1i1p3f1,0.00,-,-,-,-,-,-,0,,0.05,,,,,,,,
GISS-E2-1-G-CC,r1i1p1f1,0.00,-,,,,,,0,,,,1.10,,,,,,
GISS-E2-1-H,r1i1p1f1,0.00,-,,,,,,0,1.93,,,1.20,1.93,3.11,,,,
GISS-E2-2-G,r1i1p1f1,,,,,,,,0,1.71,,,,1.71,,,,,
HadGEM3-GC31-LL,r1i1p1f1,,,,,,,,2,2.55,,0.00,1.00,2.55,,,,4.50,
HadGEM3-GC31-LL,r1i1p1f3,0.00,RCM,,RCM,RCM,,RCM,2,,0.00,0.00,,,5.55,6.91,-37.56,,HadGEM
HadGEM3-GC31-MM,r1i1p1f1,,,,,,,,1,2.58,,,0.70,2.58,,,,4.40,
HadGEM3-GC31-MM,r1i1p1f3,0.00,RCM,,RCM,,,RCM,,,,,,,5.42,,,,
IITM-ESM,r1i1p1f1,0.00,3Dml,,3Dml,3Dml,3Dml,3Dml,0,1.71,,,1.10,1.71,,3.47,-18.10,2.20,
INM-CM4-8,r1i1p1f1,0.00,ESD,,ESD,ESD,ESD,ESD,0,1.33,0.01,1.00,1.00,1.33,1.83,4.81,-23.84,2.60,INM
INM-CM5-0,r1i1p1f1,0.00,ESD,,ESD,ESD,ESD,ESD,0,1.39,0.04,1.00,0.80,1.39,1.92,4.77,-23.54,2.70,INM
IPSL-CM5A2-INCA,r1i1p1f1,0.00,3Dml,,3Dml,,3Dml,,0,,,,1.40,,,,,,
IPSL-CM6A-LR,r1i1p1f1,1.00,RCM,RCM,RCM,RCM,RCM,RCM,1,2.32,0.02,0.00,1.20,2.32,4.56,6.81,-38.73,4.10,
IPSL-CM6A-LR,r2i1p1f1,1.00,RCM,RCM,RCM,RCM,RCM,RCM,1,2.32,0.02,0.00,,2.32,,,,,
IPSL-CM6A-LR,r3i1p1f1,1.00,RCM,RCM,RCM,RCM,RCM,RCM,1,2.32,0.02,0.00,,2.32,,,,,
IPSL-CM6A-LR,r4i1p1f1,1.00,RCM,RCM,RCM,RCM,RCM,RCM,1,2.32,0.02,0.00,,2.32,,,,,
IPSL-CM6A-LR,r5i1p1f1,0.00,RCM,,,RCM,RCM,,1,2.32,0.02,0.00,,2.32,,,,,
IPSL-CM6A-LR,r6i1p1f1,1.00,RCM,RCM,RCM,RCM,RCM,RCM,1,2.32,0.02,0.00,,2.32,,,,,
IPSL-CM6A-LR,r10i1p1f1,0.00,RCM,,,RCM,RCM,,1,,,0.00,,,,,,,
IPSL-CM6A-LR,r14i1p1f1,1.00,RCM,RCM,RCM,RCM,RCM,RCM,1,2.32,0.02,0.00,,2.32,,,,,
KACE-1-0-G,r1i1p1f1,0.00,ESD,,ESD,ESD,ESD,ESD,1,1.41,0.05,0.00,0.80,1.41,,,,3.90,HadGEM
KACE-1-0-G,r2i1p1f1,0.00,ESD,,ESD,ESD,ESD,ESD,,,,,,,4.48,5.83,-45.22,,
KIOST-ESM,r1i1p1f1,0.00,Basic,,Basic,Basic,,Basic,0,,,1.00,2.00,,,4.39,-29.56,2.60,
MCM-UA-1-0,r1i1p1f1,0.00,-,,,,,,0,1.94,,1.00,0.80,1.94,3.65,,,3.00,
MCM-UA-1-0,r1i1p1f2,0.00,-,,-,-,-,-,0,,0.02,,,,,,,,
MIROC6,r1i1p1f1,1.00,RCM,ESD,RCM,RCM,RCM,RCM,0,1.55,0.02,1.00,1.70,1.55,2.61,5.94,-31.89,3.30,
MIROC6,r2i1p1f1,0.00,ESD,,ESD,ESD,ESD,ESD,0,,0.02,,,,,,,,
MIROC6,r3i1p1f1,0.00,ESD,,ESD,ESD,ESD,ESD,0,,0.02,,,,,,,,
MIROC6-ES2L,r1i1p1f2,,,,,,,,0,,,1.00,,,,,,,
MIROC6-ES2L,r2i1p1f2,,,,,,,,0,,,1.00,,,,,,,
MIROC6-ES2L,r3i1p1f2,,,,,,,,0,,,1.00,,,,,,,
MIROC6-ES2L,r5i1p1f1,,,,,,,,0,,,1.00,,,,,,,
MIROC-ES2L,r1i1p1f2,1.00,RCM,RCM,RCM,RCM,RCM,RCM,1,1.55,0.00,,1.20,1.55,2.68,5.75,-24.26,3.50,
MIROC-ES2L,r2i1p1f2,0.00,RCM,RCM,RCM,RCM,-,-,,,,,,,,,,,
MIROC-ES2L,r3i1p1f2,0.00,RCM,RCM,RCM,RCM,-,-,,,,,,,,,,,
MPI-ESM1-2-HR,r1i1p1f1,1.00,RCM,,RCM,RCM,RCM,RCM,0,1.66,0.08,1.00,0.70,1.66,2.98,4.42,-42.61,2.80,MPI
MPI-ESM1-2-HR,r2i1p1f1,1.00,RCM,,RCM,RCM,RCM,RCM,0,1.66,0.08,1.00,,1.66,,,,,MPI
MPI-ESM1-2-LR,r1i1p1f1,1.00,RCM,RCM,RCM,RCM,RCM,RCM,0,1.84,0.06,1.00,1.10,1.84,3.00,4.83,-63.07,2.70,MPI
MPI-ESM1-2-LR,r2i1p1f1,1.00,RCM,RCM,RCM,RCM,RCM,RCM,0,1.84,0.06,1.00,,1.84,,,,,MPI
MPI-ESM1-2-LR,r3i1p1f1,1.00,RCM,RCM,RCM,RCM,RCM,RCM,0,1.84,0.06,1.00,,1.84,,,,,MPI
MPI-ESM1-2-LR,r4i1p1f1,1.00,RCM,RCM,RCM,RCM,RCM,RCM,0,1.84,0.06,1.00,,1.84,,,,,MPI
MPI-ESM1-2-LR,r5i1p1f1,1.00,RCM,RCM,RCM,RCM,RCM,RCM,0,1.84,0.06,1.00,,1.84,,,,,MPI
MPI-ESM1-2-LR,r6i1p1f1,1.00,RCM,RCM,RCM,RCM,RCM,RCM,0,1.84,0.06,1.00,,1.84,,,,,MPI
MPI-ESM1-2-LR,r7i1p1f1,1.00,RCM,RCM,RCM,RCM,RCM,RCM,0,1.84,0.06,1.00,,1.84,,,,,MPI
MPI-ESM1-2-LR,r8i1p1f1,1.00,RCM,RCM,RCM,RCM,RCM,RCM,0,1.84,0.06,1.00,,1.84,,,,,MPI
MPI-ESM1-2-LR,r9i1p1f1,1.00,RCM,RCM,RCM,RCM,RCM,RCM,0,1.84,0.06,1.00,,1.84,,,,,MPI
MPI-ESM1-2-LR,r10i1p1f1,1.00,RCM,RCM,RCM,RCM,RCM,RCM,0,1.84,0.06,1.00,,1.84,,,,,MPI
MPI-ESM1-2-LR,r11i1p1f1,1.00,RCM,RCM,RCM,RCM,RCM,RCM,,,,,,,,,,,
MPI-ESM1-2-LR,r12i1p1f1,1.00,RCM,RCM,RCM,RCM,RCM,RCM,,,,,,,,,,,
MPI-ESM1-2-LR,r13i1p1f1,1.00,,RCM,RCM,RCM,RCM,RCM,,,,,,,,,,,
MPI-ESM1-2-LR,r14i1p1f1,1.00,RCM,RCM,RCM,RCM,RCM,RCM,,,,,,,,,,,
MPI-ESM1-2-LR,r15i1p1f1,1.00,RCM,RCM,RCM,RCM,RCM,RCM,,,,,,,,,,,
MPI-ESM1-2-LR,r16i1p1f1,1.00,RCM,RCM,RCM,RCM,RCM,RCM,,,,,,,,,,,
MPI-ESM1-2-LR,r17i1p1f1,1.00,RCM,RCM,RCM,RCM,RCM,RCM,,,,,,,,,,,
MPI-ESM1-2-LR,r18i1p1f1,1.00,RCM,RCM,RCM,RCM,RCM,RCM,,,,,,,,,,,
MPI-ESM1-2-LR,r19i1p1f1,1.00,RCM,RCM,RCM,RCM,RCM,RCM,,,,,,,,,,,
MPI-ESM1-2-LR,r20i1p1f1,1.00,RCM,RCM,RCM,RCM,RCM,RCM,,,,,,,,,,,
MPI-ESM1-2-LR,r21i1p1f1,1.00,RCM,RCM,RCM,RCM,RCM,RCM,,,,,,,,,,,
MPI-ESM1-2-LR,r22i1p1f1,1.00,RCM,RCM,RCM,RCM,RCM,RCM,,,,,,,,,,,
MPI-ESM1-2-LR,r23i1p1f1,1.00,RCM,RCM,RCM,RCM,RCM,RCM,,,,,,,,,,,
MPI-ESM1-2-LR,r24i1p1f1,1.00,RCM,RCM,RCM,RCM,RCM,RCM,,,,,,,,,,,
MPI-ESM1-2-LR,r25i1p1f1,1.00,RCM,RCM,RCM,RCM,RCM,RCM,,,,,,,,,,,
MPI-ESM1-2-LR,r26i1p1f1,1.00,RCM,RCM,RCM,RCM,RCM,RCM,,,,,,,,,,,
MPI-ESM1-2-LR,r27i1p1f1,1.00,RCM,RCM,RCM,RCM,RCM,RCM,,,,,,,,,,,
MPI-ESM1-2-LR,r28i1p1f1,1.00,RCM,RCM,RCM,RCM,RCM,RCM,,,,,,,,,,,
MPI-ESM1-2-LR,r29i1p1f1,1.00,RCM,RCM,RCM,RCM,RCM,RCM,,,,,,,,,,,
MPI-ESM1-2-LR,r30i1p1f1,1.00,RCM,RCM,RCM,RCM,RCM,,,,,,,,,,,,
MPI-ESM-1-2-HAM,r1i1p1f1,0.00,RCM,,,,RCM,,0,1.80,,,1.40,1.80,2.96,,,,
MRI-ESM2-0,r1i1p1f1,0.00,RCM,ESD,RCM,ESD,ESD,RCM,0,1.64,0.02,1.00,1.60,1.64,3.15,5.04,-23.57,2.90,
NESM3,r1i1p1f1,0.00,3Dml,,3Dml,3Dml,,3Dml,1,2.72,0.01,1.00,1.70,2.72,4.72,6.93,-57.38,4.20,
NESM3,r2i1p1f1,0.00,3Dml,,3Dml,3Dml,,3Dml,0,,0.01,,,,,,,,
NorCPM1,r1i1p1f1,0.00,Basic,,,,,,0,1.56,,,1.60,1.56,3.05,,,,
NorESM2-LM,r1i1p1f1,1.00,RCM,,RCM,RCM,RCM,RCM,1,1.48,,0.00,1.60,1.48,2.54,6.23,-34.16,3.50,
